dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.212591,2.500000,0.213591,0.602667,0.854847,0.000000,0.000000
0.010000,3.218660,2.500000,0.219660,0.611216,0.854847,0.000000,0.000000
0.010000,3.224815,2.500000,0.225815,0.619764,0.854847,-0.000000,0.000000
0.010000,3.231055,2.500000,0.232055,0.628313,0.854847,0.000000,0.000000
0.010000,3.237381,2.500000,0.238381,0.636861,0.854847,-0.000000,0.000000
0.010000,3.243793,2.500000,0.244793,0.645410,0.854847,0.000000,0.000000
0.010000,3.250289,2.500000,0.251289,0.653958,0.854847,0.000000,0.000000
0.010000,3.256872,2.500000,0.257872,0.662507,0.854847,-0.000000,0.000000
0.010000,3.263540,2.500000,0.264540,0.671055,0.854847,0.000000,0.000000
0.010000,3.270293,2.500000,0.271293,0.679604,0.854847,-0.000000,0.000000
0.010000,3.277132,2.500000,0.278132,0.688152,0.854847,0.000000,0.000000
0.010000,3.284056,2.500000,0.285056,0.696701,0.854847,-0.000000,0.000000
0.010000,3.291066,2.500000,0.292066,0.705249,0.854847,0.000000,0.000000
0.010000,3.298161,2.500000,0.299161,0.713797,0.854847,0.000000,0.000000
0.010000,3.305342,2.500000,0.306342,0.722346,0.854847,-0.000000,0.000000
0.010000,3.312608,2.500000,0.313608,0.730894,0.854847,0.000000,0.000000
0.010000,3.319960,2.500000,0.320960,0.739443,0.854847,-0.000000,0.000000
0.010000,3.327397,2.500000,0.328397,0.747991,0.854847,0.000000,0.000000
0.010000,3.334919,2.500000,0.335919,0.756540,0.854847,-0.000000,0.000000
0.010000,3.342527,2.500000,0.343527,0.765088,0.854847,0.000000,0.000000
0.010000,3.350221,2.500000,0.351221,0.773637,0.854847,-0.000000,0.000000
0.010000,3.358000,2.500000,0.359000,0.782185,0.854847,0.000000,0.000000
0.010000,3.365862,2.500000,0.366862,0.790259,0.807356,-4.749151,0.000000
0.010000,3.373803,2.500000,0.374803,0.797857,0.759864,-4.749151,0.000000
0.010000,3.381817,2.500000,0.382817,0.804981,0.712373,-4.749151,0.000000
0.010000,3.389900,2.500000,0.390900,0.811630,0.664881,-4.749151,0.000000
0.010000,3.398047,2.500000,0.399047,0.817804,0.617390,-4.749151,0.000000
0.010000,3.406254,2.500000,0.407254,0.823503,0.569898,-4.749151,0.000000
0.010000,3.414515,2.500000,0.415515,0.828727,0.522407,-4.749151,0.000000
0.010000,3.422826,2.500000,0.423826,0.833476,0.474915,-4.749151,0.000000
0.010000,3.431182,2.500000,0.432182,0.837750,0.427424,-4.749151,0.000000
0.010000,3.439579,2.500000,0.440579,0.841550,0.379932,-4.749151,0.000000
0.010000,3.448011,2.500000,0.449011,0.844874,0.332441,-4.749151,0.000000
0.010000,3.456474,2.500000,0.457474,0.847724,0.284949,-4.749151,0.000000
0.010000,3.464963,2.500000,0.465963,0.850098,0.237458,-4.749151,0.000000
0.010000,3.473473,2.500000,0.474473,0.851998,0.189966,-4.749151,0.000000
0.010000,3.482001,2.500000,0.483001,0.853422,0.142475,-4.749151,0.000000
0.010000,3.490540,2.500000,0.491540,0.854372,0.094983,-4.749151,0.000000
0.010000,3.499086,2.500000,0.500086,0.854847,0.047492,-4.749151,0.000000
0.010000,3.507632,2.500000,0.508632,0.854418,-0.042887,-9.037897,0.000000
0.010000,3.516172,2.500000,0.517172,0.853515,-0.090379,-4.749151,0.000000
0.010000,3.524700,2.500000,0.525700,0.852136,-0.137870,-4.749151,0.000000
0.010000,3.533212,2.500000,0.534212,0.850282,-0.185362,-4.749151,0.000000
0.010000,3.541703,2.500000,0.542703,0.847954,-0.232854,-4.749151,0.000000
0.010000,3.550169,2.500000,0.551169,0.845150,-0.280345,-4.749151,0.000000
0.010000,3.558604,2.500000,0.559604,0.841872,-0.327837,-4.749151,0.000000
0.010000,3.567004,2.500000,0.568004,0.838119,-0.375328,-4.749151,0.000000
0.010000,3.575364,2.500000,0.576364,0.833890,-0.422820,-4.749151,0.000000
0.010000,3.583679,2.500000,0.584679,0.829187,-0.470311,-4.749151,0.000000
0.010000,3.591945,2.500000,0.592945,0.824009,-0.517803,-4.749151,0.000000
0.010000,3.600157,2.500000,0.601157,0.818356,-0.565294,-4.749151,0.000000
0.010000,3.608310,2.500000,0.609310,0.812228,-0.612786,-4.749151,0.000000
0.010000,3.616399,2.500000,0.617399,0.805626,-0.660277,-4.749151,0.000000
0.010000,3.624420,2.500000,0.625420,0.798548,-0.707769,-4.749151,0.000000
0.010000,3.632368,2.500000,0.633368,0.790995,-0.755260,-4.749151,0.000000
0.010000,3.640238,2.500000,0.641238,0.782968,-0.802752,-4.749151,0.000000
0.010000,3.648025,2.500000,0.649025,0.774465,-0.850243,-4.749151,0.000000
0.010000,3.655727,2.500000,0.656727,0.765917,-0.854847,-0.460405,0.000000
0.010000,3.663343,2.500000,0.664343,0.757369,-0.854847,-0.000000,0.000000
0.010000,3.670874,2.500000,0.671874,0.748820,-0.854847,0.000000,0.000000
0.010000,3.678319,2.500000,0.679319,0.740272,-0.854847,-0.000000,0.000000
0.010000,3.685679,2.500000,0.686679,0.731723,-0.854847,0.000000,0.000000
0.010000,3.692954,2.500000,0.693954,0.723175,-0.854847,-0.000000,0.000000
0.010000,3.700143,2.500000,0.701143,0.714626,-0.854847,0.000000,0.000000
0.010000,3.707246,2.500000,0.708246,0.706078,-0.854847,0.000000,0.000000
0.010000,3.714265,2.500000,0.715265,0.697529,-0.854847,0.000000,0.000000
0.010000,3.721197,2.500000,0.722197,0.688981,-0.854847,-0.000000,0.000000
0.010000,3.728044,2.500000,0.729044,0.680432,-0.854847,0.000000,0.000000
0.010000,3.734806,2.500000,0.735806,0.671884,-0.854847,-0.000000,0.000000
0.010000,3.741482,2.500000,0.742482,0.663335,-0.854847,0.000000,0.000000
0.010000,3.748072,2.500000,0.749072,0.654787,-0.854847,-0.000000,0.000000
0.010000,3.754578,2.500000,0.755578,0.646238,-0.854847,0.000000,0.000000
0.010000,3.760997,2.500000,0.761997,0.637690,-0.854847,-0.000000,0.000000
0.010000,3.767331,2.500000,0.768331,0.629141,-0.854847,0.000000,0.000000
0.010000,3.773580,2.500000,0.774580,0.620593,-0.854847,-0.000000,0.000000
0.010000,3.779743,2.500000,0.780743,0.612045,-0.854847,0.000000,0.000000
0.010000,3.785821,2.500000,0.786821,0.603496,-0.854847,-0.000000,0.000000
0.010000,3.791813,2.500000,0.792813,0.594948,-0.854847,0.000000,0.000000
0.010000,3.797720,2.500000,0.798720,0.586399,-0.854847,0.000000,0.000000
0.010000,3.803541,2.500000,0.804541,0.577851,-0.854847,-0.000000,0.000000
0.010000,3.809277,2.500000,0.810277,0.569302,-0.854847,0.000000,0.000000
0.010000,3.814927,2.500000,0.815927,0.560754,-0.854847,-0.000000,0.000000
0.010000,3.820492,2.500000,0.821492,0.552205,-0.854847,0.000000,0.000000
0.010000,3.825971,2.500000,0.826971,0.543657,-0.854847,0.000000,0.000000
0.010000,3.831365,2.500000,0.832365,0.535108,-0.854847,0.000000,0.000000
0.010000,3.836673,2.500000,0.837673,0.526560,-0.854847,-0.000000,0.000000
0.010000,3.841896,2.500000,0.842896,0.518011,-0.854847,0.000000,0.000000
0.010000,3.847034,2.500000,0.848034,0.509463,-0.854847,-0.000000,0.000000
0.010000,3.852086,2.500000,0.853086,0.500914,-0.854847,0.000000,0.000000
0.010000,3.857052,2.500000,0.858052,0.492366,-0.854847,-0.000000,0.000000
0.010000,3.861933,2.500000,0.862933,0.483817,-0.854847,0.000000,0.000000
0.010000,3.866728,2.500000,0.867728,0.475269,-0.854847,0.000000,0.000000
0.010000,3.871438,2.500000,0.872438,0.466720,-0.854847,0.000000,0.000000
0.010000,3.876063,2.500000,0.877063,0.458172,-0.854847,0.000000,0.000000
0.010000,3.880602,2.500000,0.881602,0.449624,-0.854847,0.000000,0.000000
0.010000,3.885055,2.500000,0.886055,0.441075,-0.854847,0.000000,0.000000
0.010000,3.889423,2.500000,0.890423,0.432527,-0.854847,0.000000,0.000000
0.010000,3.893706,2.500000,0.894706,0.423978,-0.854847,0.000000,0.000000
0.010000,3.897903,2.500000,0.898903,0.415430,-0.854847,0.000000,0.000000
0.010000,3.902014,2.500000,0.903014,0.406881,-0.854847,0.000000,0.000000
0.010000,3.906040,2.500000,0.907040,0.398333,-0.854847,-0.000000,0.000000
0.010000,3.909981,2.500000,0.910981,0.389784,-0.854847,0.000000,0.000000
0.010000,3.913836,2.500000,0.914836,0.381236,-0.854847,0.000000,0.000000
0.010000,3.917606,2.500000,0.918606,0.372687,-0.854847,0.000000,0.000000
0.010000,3.921290,2.500000,0.922290,0.364139,-0.854847,0.000000,0.000000
0.010000,3.924888,2.500000,0.925888,0.355590,-0.854847,0.000000,0.000000
0.010000,3.928402,2.500000,0.929402,0.347042,-0.854847,0.000000,0.000000
0.010000,3.931829,2.500000,0.932829,0.338493,-0.854847,0.000000,0.000000
0.010000,3.935171,2.500000,0.936171,0.329945,-0.854847,0.000000,0.000000
0.010000,3.938428,2.500000,0.939428,0.321396,-0.854847,0.000000,0.000000
0.010000,3.941599,2.500000,0.942599,0.312848,-0.854847,0.000000,0.000000
0.010000,3.944685,2.500000,0.945685,0.304299,-0.854847,0.000000,0.000000
0.010000,3.947685,2.500000,0.948685,0.295751,-0.854847,-0.000000,0.000000
0.010000,3.950600,2.500000,0.951600,0.287203,-0.854847,0.000000,0.000000
0.010000,3.953429,2.500000,0.954429,0.278654,-0.854847,0.000000,0.000000
0.010000,3.956173,2.500000,0.957173,0.270106,-0.854847,0.000000,0.000000
0.010000,3.958832,2.500000,0.959832,0.261557,-0.854847,0.000000,0.000000
0.010000,3.961404,2.500000,0.962404,0.253009,-0.854847,0.000000,0.000000
0.010000,3.963892,2.500000,0.964892,0.244460,-0.854847,-0.000000,0.000000
0.010000,3.966294,2.500000,0.967294,0.235912,-0.854847,0.000000,0.000000
0.010000,3.968610,2.500000,0.969610,0.227363,-0.854847,0.000000,0.000000
0.010000,3.970841,2.500000,0.971841,0.218815,-0.854847,0.000000,0.000000
